X,Y,rowid,device_id,Location,ReportTime,AvgSpeed,Volume,Occupancy,Latitude,Longitude
-76.484393,39.3295830000001,184,860006c50030002f004d823033235daa,I-695 (O/L) @Ex 36 MD-702,2025/05/11 04:10:00+00,70,0,0,39.329583,-76.484393
-76.9383559999999,39.021963,185,87ff048500a500bb003ac7482f1f5daa,I-495 WB at I-95,2025/05/11 03:52:56+00,70,0,0,39.021963,-76.938356
-76.798823,39.172443,186,88000ae5001400e7003ac7482f1f5daa,I-95 NB South of MD 175,2025/05/11 03:21:56+00,70,181,2,39.172443,-76.798823
-76.4852,39.35754,187,89000af700ab000f0057fa30c4235c0a,"I-95 AT 0.34 MILES SOUTH OF KING AVE, MM 64.5",2025/05/11 04:08:17+00,70,95,1,39.35754,-76.4852
-76.4852,39.35754,188,89000af700ab000f0057fa30c4235c0a,"I-95 AT 0.34 MILES SOUTH OF KING AVE, MM 64.5",2025/05/11 04:08:17+00,70,118,0,39.35754,-76.4852
-77.323292,39.2774610000001,189,8b010946005a002d0065d330c4235c0a,I-270 @ MD 109,2025/05/11 04:10:00+00,65,11,2,39.277461,-77.323292
-77.323292,39.2774610000001,190,8b010946005a002d0065d330c4235c0a,I-270 @ MD 109,2025/05/11 04:10:00+00,70,30,7,39.277461,-77.323292
-76.1229759999999,38.971934,191,8c0005b600e500370065d330c4235c0a,US 50 prior to Bloomingdale Rd,2025/05/11 04:10:00+00,70,3,0,38.971934,-76.122976
-76.1229759999999,38.971934,192,8c0005b600e500370065d330c4235c0a,US 50 prior to Bloomingdale Rd,2025/05/11 04:10:00+00,70,8,1,38.971934,-76.122976
-76.5607199999999,39.26606,193,8c01084f006f00f90056fa30c4235c0a,"I-895 NORTH, NORTH OF HARBOR TUNNEL, MM 10.6",2025/05/10 20:53:44+00,65,205,25,39.26606,-76.56072
-76.5607199999999,39.26606,194,8c01084f006f00f90056fa30c4235c0a,"I-895 NORTH, NORTH OF HARBOR TUNNEL, MM 10.6",2025/05/10 20:53:44+00,40,218,41,39.26606,-76.56072
-77.3462479999999,39.404138,195,8d0003d6002d00e8003bc7482f1f5daa,"I-70 WB West of Ex. 59, Md 144",2025/05/11 04:08:26+00,70,44,1,39.404138,-77.346248
-76.060197,38.802014,196,8d000c01004c00800064d330c4235c0a,"US 50 West, Near Kennedy St, T15.95 (L)",2025/05/11 04:10:00+00,60,3,0,38.802014,-76.060197
-75.19564,38.37701,197,90010560005500230063d330c4235c0a,MD 90 East past US 113,2025/05/11 04:10:00+00,70,0,0,38.37701,-75.19564
-75.19564,38.37701,198,90010560005500230063d330c4235c0a,MD 90 East past US 113,2025/05/11 04:10:00+00,70,2,0,38.37701,-75.19564
-76.6657259999999,39.5544,199,910007f1003c00a60067d330c4235c0a,I-83 SB at Cold Bottom Road,2025/05/11 04:10:00+00,70,1,0,39.5544,-76.665726
-76.6657259999999,39.5544,200,910007f1003c00a60067d330c4235c0a,I-83 SB at Cold Bottom Road,2025/05/11 04:10:00+00,70,0,0,39.5544,-76.665726
-76.7308399999999,39.21603,201,91000bf400bd00070057fa30c4235c0a,I-95 SOUTH PAST HARBOR TUNNEL THRUWAY,2025/05/11 04:08:26+00,70,166,26,39.21603,-76.73084
-77.392549,39.3506380000001,202,9201074f004e00390065d330c4235c0a,I-270 North prior to Baker Valley Rd,2025/05/11 04:10:00+00,70,15,2,39.350638,-77.392549
-77.392549,39.3506380000001,203,9201074f004e00390065d330c4235c0a,I-270 North prior to Baker Valley Rd,2025/05/11 04:10:00+00,60,14,3,39.350638,-77.392549
-76.8532539999999,39.1345440000001,204,94000bfc00b0000f0057fa30c4235c0a,I-95 NB BETWEEN MD 216 AND GORMAN RD,2025/05/10 23:19:15+00,70,475,8,39.134544,-76.853254
-76.69481,39.2209700000001,205,96012b7a000e00150057fa30c4235c0a,"I-895 NORTH, PAST I-195, MM 1.8",2025/05/11 02:09:25+00,60,18,2,39.22097,-76.69481
-76.69481,39.2209700000001,206,96012b7a000e00150057fa30c4235c0a,"I-895 NORTH, PAST I-195, MM 1.8",2025/05/11 02:09:25+00,70,18,2,39.22097,-76.69481
-77.1448609999999,39.01363,207,96ff06c4008800a6003ac7482f1f5daa,I-495 WB @ Greentree Rd,2025/05/11 04:10:00+00,70,28,3,39.01363,-77.144861
-75.068981,38.3855800000001,208,9700075200ce00c00060d330c4235c0a,"MD 90 West, West of Coastal Hwy",2025/05/11 04:10:00+00,55,5,1,38.38558,-75.068981
-75.068981,38.3855800000001,209,9700075200ce00c00060d330c4235c0a,"MD 90 West, West of Coastal Hwy",2025/05/11 04:10:00+00,45,3,0,38.38558,-75.068981
-77.310164,39.261425,210,9b00044e00140096003bc7482f1f5daa,I-270 SB @ MSP Truck Weigh Station,2025/05/11 04:08:26+00,60,72,2,39.261425,-77.310164
-76.88445,39.16754,211,9c0005ad00c400710065d330c4235c0a,US 29 at Middle Patuxent River,2025/05/11 04:10:00+00,70,6,0,39.16754,-76.88445
-76.88445,39.16754,212,9c0005ad00c400710065d330c4235c0a,US 29 at Middle Patuxent River,2025/05/11 04:10:00+00,65,9,1,39.16754,-76.88445
-76.7160509999999,38.9552210000001,213,9d01084b003f00560065d330c4235c0a,US 50 East at US 301/MD 3,2025/05/11 04:10:00+00,70,4,0,38.955221,-76.716051
-76.7160509999999,38.9552210000001,214,9d01084b003f00560065d330c4235c0a,US 50 East at US 301/MD 3,2025/05/11 04:10:00+00,70,12,1,38.955221,-76.716051
-75.881274,39.3630190000001,215,9e00054200d100d30063d330c4235c0a,MD 213 South past Sassafras Riv Brg,2025/05/11 04:10:00+00,45,5,0,39.363019,-75.881274
-75.881274,39.3630190000001,216,9e00054200d100d30063d330c4235c0a,MD 213 South past Sassafras Riv Brg,2025/05/11 04:10:00+00,70,0,0,39.363019,-75.881274
-76.71412,39.2202,217,9e00278c0010000d0057fa30c4235c0a,"I-895 SOUTH PAST LAWYERS HILL RD, MM 0.6",2025/05/11 04:07:26+00,60,7,1,39.2202,-76.71412
-76.802494,39.132709,218,9e0103760078000e003bc7482f1f5daa,MD 32 EB @ US 1,2025/05/11 04:03:16+00,70,0,0,39.132709,-76.802494
-76.5160749999999,38.993883,219,9eff06b4008300ad0064d330c4235c0a,"US 50 East, at Ex 24 MD 70 (Rowe Blvd)",2025/05/11 04:10:00+00,70,5,0,38.993883,-76.516075
-76.5160749999999,38.993883,220,9eff06b4008300ad0064d330c4235c0a,"US 50 East, at Ex 24 MD 70 (Rowe Blvd)",2025/05/11 04:10:00+00,65,10,1,38.993883,-76.516075
-76.841123,39.0516700000001,221,9f0106480046003c0058fa30c4235c0a,MD-295 NB at MD-197,2025/05/11 04:07:27+00,65,70,2,39.05167,-76.841123
-76.841123,39.0516700000001,222,9f0106480046003c0058fa30c4235c0a,MD-295 NB at MD-197,2025/05/11 04:07:27+00,70,69,1,39.05167,-76.841123
-77.3340699999999,39.2961710000001,223,a20005a4004900fe0062d330c4235c0a,I-270 North at Doctor Perry Rd,2025/05/11 04:10:00+00,65,19,3,39.296171,-77.33407
-77.3340699999999,39.2961710000001,224,a20005a4004900fe0062d330c4235c0a,I-270 North at Doctor Perry Rd,2025/05/11 04:10:00+00,70,7,2,39.296171,-77.33407
-76.51676,39.3354600000001,225,a20007c7009400720057fa30c4235c0a,"I-95 NORTH, SOUTH OF GOLDEN RING RD(NB)",2025/05/11 04:08:17+00,70,93,1,39.33546,-76.51676
-76.66214,39.38325,226,a5000d0100c200070057fa30c4235c0a,I-83 SOUTH PAST OLD PIMLICO RD,2025/05/11 04:07:26+00,60,59,16,39.38325,-76.66214
