OBJECTID,CTP Project ID,CTP Project Name,County,TBU Facility,CTP Doc URL,Longitude,Latitude,Transportation Business Unit,District,x,y
296,XX2342,"Installation of Raised Pavement Markers at Various Locations in Caroline, Cecil, Kent, Queen Anne's & Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=308,39.0378866318607,-76.0577090648316,Maryland State Highway Administration,2,-8466705.444,4727099.9614
297,XX2522,"Pavement Marking at Various Locations in Cecil, Kent, Queen Anne’s, Caroline and Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,39.0378866318607,-76.0577090648316,Maryland State Highway Administration,2,-8466705.444,4727099.9614
298,XX2342,"Installation of Raised Pavement Markers at Various Locations in Caroline, Cecil, Kent, Queen Anne's & Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=308,38.7700881205273,-76.0879832196627,Maryland State Highway Administration,2,-8470075.5475,4688791.9716
299,XX2522,"Pavement Marking at Various Locations in Cecil, Kent, Queen Anne’s, Caroline and Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.7700881205273,-76.0879832196627,Maryland State Highway Administration,2,-8470075.5475,4688791.9716
300,XX2342,"Installation of Raised Pavement Markers at Various Locations in Caroline, Cecil, Kent, Queen Anne's & Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=308,38.8800790700779,-75.8271007480214,Maryland State Highway Administration,2,-8441034.2436,4704508.4565
301,XX2522,"Pavement Marking at Various Locations in Cecil, Kent, Queen Anne’s, Caroline and Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.8800790700779,-75.8271007480214,Maryland State Highway Administration,2,-8441034.2436,4704508.4565
302,XY247B,"Traffic Barrier Upgrades at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,38.5721680103052,-76.0747187590595,Maryland State Highway Administration,1,-8468598.9545,4660572.2836
303,XY247B,"Traffic Barrier Upgrades at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,38.3661683940845,-75.6000990161601,Maryland State Highway Administration,1,-8415764.5264,4631283.0512
304,XY247B,"Traffic Barrier Upgrades at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,38.1734049818715,-75.3878686535197,Maryland State Highway Administration,1,-8392139.1505,4603951.1657
305,XY247B,"Traffic Barrier Upgrades at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,38.2087838454239,-75.6963138023011,Maryland State Highway Administration,1,-8426475.1074,4608962.0979
306,XY7091,Safety and Resurfacing Improvements at Various Locations in Dorchester County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=381,38.5721680103052,-76.0747187590595,Maryland State Highway Administration,1,-8468598.9545,4660572.2836
307,XY7191,Safety and Resurfacing Improvements at Various Locations in Somerset County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=478,38.2087838454239,-75.6963138023011,Maryland State Highway Administration,5,-8426475.1074,4608962.0979
308,XY8231,Safety and Resurfacing Improvements at Various Locations in Worcester County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=504,38.1734049818715,-75.3878686535197,Maryland State Highway Administration,1,-8392139.1505,4603951.1657
309,XY8222,Resurfacing Roadway Pavements at Various Locations in Wicomico County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=498,38.3661683940845,-75.6000990161601,Maryland State Highway Administration,1,-8415764.5264,4631283.0512
310,XY9051,Mill and Resurfacing at Various Locations in Caroline County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=359,38.8800790700779,-75.8271007480214,Maryland State Highway Administration,2,-8441034.2436,4704508.4565
311,XY9201,Mill and Resurfacing at Various Locations in Talbot County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=482,38.7700881205273,-76.0879832196627,Maryland State Highway Administration,2,-8470075.5475,4688791.9716
312,XY9171,Mill and Resurfacing at Various Locations in Queen Anne's County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=466,39.0378866318607,-76.0577090648316,Maryland State Highway Administration,2,-8466705.444,4727099.9614
313,XY9141,Mill and Resurfacing at Various Locations in Kent County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=420,39.2111526333973,-76.0683222439935,Maryland State Highway Administration,2,-8467886.8977,4751962.6656
314,XY9071,Mill and Resurfacing at Various Locations in Cecil County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=369,39.6004804023145,-75.7886626562775,Maryland State Highway Administration,2,-8436755.3348,4808053.8993
315,XY8212,Resurfacing Roadway Pavements at Various Locations in Western Washington County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=493,39.6434901110085,-77.7228683471735,Maryland State Highway Administration,6,-8652070.1274,4814269.678
316,XY8101,Safety and Resurfacing Improvements at Various Locations in Frederick County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=393,39.4150738246873,-77.4097957984972,Maryland State Highway Administration,7,-8617219.0507,4781302.9412
317,XY8062,Safety and Resurfacing Improvements at Various Locations in Carroll County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=366,39.5731139020073,-76.9874014759494,Maryland State Highway Administration,7,-8570198.3298,4804100.8921
318,XY8181,Mill and Resurfacing at Various Locations in St. Mary’s County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=473,38.3029859574625,-76.6294704144967,Maryland State Highway Administration,5,-8530353.6263,4622316.4299
319,XY8081,Mill and Resurfacing at Various Locations in Charles County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=377,38.5317113392161,-76.9806781555796,Maryland State Highway Administration,5,-8569449.8932,4654813.504
320,XY8022,Resurfacing at Various Locations in Southern Anne Arundel County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=331,38.974651324749,-76.5613118409538,Maryland State Highway Administration,5,-8522766.2486,4718041.2425
321,XY7161,Mill and Resurfacing at Various Locations in Prince George's County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=458,38.9080328177787,-76.8403564069919,Maryland State Highway Administration,3,-8553829.3476,4708506.6113
322,XY7131,Safety and Resurfacing Improvements at Various Locations in Howard Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=416,39.2757080482067,-76.8074763554042,Maryland State Highway Administration,7,-8550169.157,4761241.6841
323,XY7122,Mill and Resurfacing at Various Locations West of US 1 in Harford County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=407,39.5340619747219,-76.3473609835587,Maryland State Highway Administration,4,-8498949.3481,4798462.6619
324,XY7111,Safety and Resurfacing Improvements at Various Locations in Garrett County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=401,39.4073981397317,-79.4062893668403,Maryland State Highway Administration,6,-8839467.6981,4780197.0089
325,XY7011,Resurfacing Roadway Pavements at Various Locations in Allegany County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=318,39.6456020629358,-78.7784923422404,Maryland State Highway Administration,6,-8769581.653,4814574.9976
326,XX3864,Safety and Resurfacing Improvements at Various Locations on NHS in Baltimore and Harford Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,39.4003969260864,-76.6069121995597,Maryland State Highway Administration,4,-8527842.4573,4779188.3623
327,XX3864,Safety and Resurfacing Improvements at Various Locations on NHS in Baltimore and Harford Counties,Statewide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,39.5340619747219,-76.3473609835587,Maryland State Highway Administration,4,-8498949.3481,4798462.6619
328,XY250B,Pavement Marking at Various Locations in Baltimore and Harford Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=307,39.5340619747219,-76.3473609835587,Maryland State Highway Administration,4,-8498949.3481,4798462.6619
329,XY250B,Pavement Marking at Various Locations in Baltimore and Harford Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=307,39.4003969260864,-76.6069121995597,Maryland State Highway Administration,4,-8527842.4573,4779188.3623
330,XY251C,Pavement Marking at Various Locations in Baltimore and Harford Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=307,39.4003969260864,-76.6069121995597,Maryland State Highway Administration,4,-8527842.4573,4779188.3623
331,XY251C,Pavement Marking at Various Locations in Baltimore and Harford Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=307,39.5340619747219,-76.3473609835587,Maryland State Highway Administration,4,-8498949.3481,4798462.6619
332,XY250A,Thermoplastic Thinline Striping in Montgomery and Prince George's Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,39.0821868187926,-77.1508237254616,Maryland State Highway Administration,3,-8588390.4114,4733450.9759
333,XY2543,Line Striping at Various Locations in Montgomery and Prince George's Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,39.0821868187926,-77.1508237254616,Maryland State Highway Administration,3,-8588390.4114,4733450.9759
334,XY2543,Line Striping at Various Locations in Montgomery and Prince George's Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.9080328177787,-76.8403564069919,Maryland State Highway Administration,3,-8553829.3476,4708506.6113
335,XY250A,Thermoplastic Thinline Striping in Montgomery and Prince George's Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.9080328177787,-76.8403564069919,Maryland State Highway Administration,3,-8553829.3476,4708506.6113
336,XY2508,Pavement Marking at Various Locations in Allegany and Garrett Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,39.6456020629358,-78.7784923422404,Maryland State Highway Administration,6,-8769581.653,4814574.9976
337,XY2508,Pavement Marking at Various Locations in Allegany and Garrett Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=306,39.4073981397317,-79.4062893668403,Maryland State Highway Administration,6,-8839467.6981,4780197.0089
